wallet,n_pairs,top_pair_trades,total_pair_trades,total_pair_volume_eth,top_pair_tokens,pct_own_max,intensity_max,partners,round_trips_total,ring_appearances,ring_tokens,self_sale_eth,funder,funder_tag,avg_price_per_trade,flag_selfsale,flag_pingpong,flag_ring,flag_concentration,flag_attributed,detectors_fired,confidence,structure_type,collection_focus
0x6f4fc13fc8205162d5003bb2bd2ef7a6ea1439c6,1,25,25,8619,2,100,13,0x7d21d6f8e03746bef7fb64710c1569505f76dc18,11,,,,,,344.76,0,1,0,1,0,2,medium,concentrated_pair,Loot
0x7d21d6f8e03746bef7fb64710c1569505f76dc18,1,25,25,8619,2,100,13,0x6f4fc13fc8205162d5003bb2bd2ef7a6ea1439c6,11,,,,,,344.76,0,1,0,1,0,2,medium,concentrated_pair,Loot
0x5cbc912ba172984fbb8aef4c28f31cc02d66ce19,1,71,71,8204,4,97,18,0xfbed7e15eb82a0ec39f06e766c695dd0ccd34207,34,,,,,,115.54929577464789,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xfbed7e15eb82a0ec39f06e766c695dd0ccd34207,1,71,71,8204,4,99,18,0x5cbc912ba172984fbb8aef4c28f31cc02d66ce19,34,,,,,,115.54929577464789,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x36209cad56c31332d575bed3e989c988c2ad8eee,1,23,23,8170,2,96,12,0x622ecd97194351253b1b2d2f02d4777ed7e2c298,11,,,,,,355.2173913043478,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x622ecd97194351253b1b2d2f02d4777ed7e2c298,1,23,23,8170,2,100,12,0x36209cad56c31332d575bed3e989c988c2ad8eee,11,,,,,,355.2173913043478,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xc269f9f50c64fec1f139e9abd196d393b0e59740,1,47,47,7692,1,100,47,0xc2ba827267af18a6e7f729d2dd9bf980e5740dd0,23,,,,,,163.6595744680851,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xc2ba827267af18a6e7f729d2dd9bf980e5740dd0,1,47,47,7692,1,100,47,0xc269f9f50c64fec1f139e9abd196d393b0e59740,23,,,,,,163.6595744680851,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x22ef06a21222fd7cfbaf4d2467ee084e4f7ce5b7,1,53,53,7406,1,98,53,0x3bf2644f53ae8d064e031cf2e196386f69942f83,26,,,,,,139.73584905660377,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0x3bf2644f53ae8d064e031cf2e196386f69942f83,1,53,53,7406,1,98,53,0x22ef06a21222fd7cfbaf4d2467ee084e4f7ce5b7,26,,,,,,139.73584905660377,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0x2345967c7b94397ccf4fd737d8f75cd46bda585d,1,37,37,7093,1,100,37,0xcacfa917d5626de6e142fee84d3ac6e710917c66,18,,,,,,191.7027027027027,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xcacfa917d5626de6e142fee84d3ac6e710917c66,1,37,37,7093,1,100,37,0x2345967c7b94397ccf4fd737d8f75cd46bda585d,18,,,,,,191.7027027027027,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x4dcbb1fe5983ad5b44dc661273a4f11ca812f8b8,1,32,32,7040,3,100,11,0xd7e630afcf128feb8b9071a8412914478c00c22a,15,,,,,,220,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xd7e630afcf128feb8b9071a8412914478c00c22a,1,32,32,7040,3,67,11,0x4dcbb1fe5983ad5b44dc661273a4f11ca812f8b8,15,,,,,,220,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xcbd6f0e9313007b3b888fb80d540820829197d12,1,53,53,6791,1,98,53,0xfd5ac3a49c0ffe8011028a37e876af259caba160,26,,,,,,128.1320754716981,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0xfd5ac3a49c0ffe8011028a37e876af259caba160,1,53,53,6791,1,98,53,0xcbd6f0e9313007b3b888fb80d540820829197d12,26,,,,,,128.1320754716981,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0x61bd518d28897ac109e520587edd3dcc58d21697,1,52,52,6651,1,96,52,0xbfa6e91d9177a365bbf9e023e1bcaaae71be132c,26,,,,,,127.90384615384616,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0xbfa6e91d9177a365bbf9e023e1bcaaae71be132c,1,52,52,6651,1,100,52,0x61bd518d28897ac109e520587edd3dcc58d21697,26,,,,,,127.90384615384616,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0x7bc43962fa198c89bb8f6d53e79d9c70090b8173,1,36,36,6423,1,95,36,0xe5331fab4970d7ea3bf3823dfe40fc0564909398,18,,,,,,178.41666666666666,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xe5331fab4970d7ea3bf3823dfe40fc0564909398,1,36,36,6423,1,100,36,0x7bc43962fa198c89bb8f6d53e79d9c70090b8173,18,,,,,,178.41666666666666,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xa2ab8f1ae6611b622b1272ce842bf8ad3e7b6311,1,41,41,6216,2,100,21,0xe244fa646735a0e2c4365177a168856ac49ea7a9,20,,,,,,151.609756097561,0,1,0,1,0,2,medium,concentrated_pair,Loot
0xe244fa646735a0e2c4365177a168856ac49ea7a9,1,41,41,6216,2,100,21,0xa2ab8f1ae6611b622b1272ce842bf8ad3e7b6311,20,,,,,,151.609756097561,0,1,0,1,0,2,medium,concentrated_pair,Loot
0x9785b76b20dd9b77852771c4bf16785ad8e5b242,1,45,45,5910,1,98,45,0xe3ab023c7f84207589d36872f0a25afc3c433d69,22,,,,,,131.33333333333334,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xe3ab023c7f84207589d36872f0a25afc3c433d69,1,45,45,5910,1,98,45,0x9785b76b20dd9b77852771c4bf16785ad8e5b242,22,,,,,,131.33333333333334,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x81d6e8dfde5d9ad36a0b3c303e21cf8975661ed0,1,53,53,5839,1,98,53,0xb1f07b85455be93bcac8b2179bdcabb3009ffbb9,26,,,,,,110.16981132075472,0,1,0,1,0,2,medium,bilateral_mill,Terraforms
0xb1f07b85455be93bcac8b2179bdcabb3009ffbb9,1,53,53,5839,1,98,53,0x81d6e8dfde5d9ad36a0b3c303e21cf8975661ed0,26,,,,,,110.16981132075472,0,1,0,1,0,2,medium,bilateral_mill,Terraforms
0x686da990d99b9c9cb778a6c390c33f899ec3f670,1,48,48,5837,1,100,48,0xf35716a571f529770aa400e298d14106fc8af7d6,24,,,,,,121.60416666666667,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xf35716a571f529770aa400e298d14106fc8af7d6,1,48,48,5837,1,96,48,0x686da990d99b9c9cb778a6c390c33f899ec3f670,24,,,,,,121.60416666666667,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x9d711be55d2aac3ad14f7bace70304d3b4b565d0,1,44,44,5819,1,100,44,0xb2335d5461bb8c3e85728bdb88427c7abaf93c61,22,,,,,,132.25,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xb2335d5461bb8c3e85728bdb88427c7abaf93c61,1,44,44,5819,1,96,44,0x9d711be55d2aac3ad14f7bace70304d3b4b565d0,22,,,,,,132.25,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x1bf1c8c2a4677eeb23ef22d26a59b4119c75c116,1,31,31,5737,1,100,31,0xa11308ddbe29d6a90744fcec7198bf98c4d8b203,15,,,,,,185.06451612903226,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
