nft_id,sales,volume_eth,min_price,max_price,distinct_txs,top_pair_a,top_pair_b,top_pair_sales,dominance_pct,pair_confidence,pair_structure,token_structure,collection,token_id
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:12986,1,6,5.5,5.5,1,0x2306e15d60f6c319fe04b183d2962dcb1f457891,0xef3d9ddf59f3622a04753c61e6c4d596e7fc610d,1,100,,,single_pair_dominated,Meebits,12986
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:10004,1,19,18.5,18.5,1,0xef3d9ddf59f3622a04753c61e6c4d596e7fc610d,0xf0d8e4033ecac09ab865f68d8733158d94e3c4c6,1,100,,,single_pair_dominated,Meebits,10004
0x4e1f41613c9084fdb9e34e11fae9412427480e56:2683,1,3,3,3,1,0x6009303f26c0101022cb68d6cb95d46a8f6100a3,0xef97c92c47a76756cf8f33fb8b227cd8ebd7638d,1,100,,,single_pair_dominated,Terraforms,2683
0x4e1f41613c9084fdb9e34e11fae9412427480e56:3446,1,0,0.305,0.305,1,0xbf8090eab036022b7e0c77d9e34793f1b756d94b,0xefea2b9fdc21186382b4266c7bcbd7a4cbbda563,1,100,,,single_pair_dominated,Terraforms,3446
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:11118,1,4,4.185,4.185,1,0x1648e8830a2930a54a35ffb7969c3de21ef2fd10,0xf0b449ac2f2f66a2c6cd8fcfc27fd6b06159107e,1,100,,,single_pair_dominated,Meebits,11118
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:8577,1,4,4.085,4.085,1,0xaa70bd7cb55c8308ef8b4dfd6716d78701945c65,0xf0b449ac2f2f66a2c6cd8fcfc27fd6b06159107e,1,100,,,single_pair_dominated,Meebits,8577
0x4e1f41613c9084fdb9e34e11fae9412427480e56:7529,1,0,0.38,0.38,1,0x44f6827aa307f4d7faeb64be47543647b3a871db,0xf1fae5df37cef47f9ac44dfb69472247739cdc83,1,100,,,single_pair_dominated,Terraforms,7529
0x4e1f41613c9084fdb9e34e11fae9412427480e56:1908,1,0,0.31,0.31,1,0xd58518b059895d0628f065f42d2d90d37f347f1a,0xf31f7a4d431cd7183b64aeea97365f07f3b2094b,1,100,,,single_pair_dominated,Terraforms,1908
0x4e1f41613c9084fdb9e34e11fae9412427480e56:7985,1,0,0.3469,0.3469,1,0x00d4c228fd3536a67145a78d6d69d6020c0b9a6f,0xf49f263806a1defa546f6d388615bbc487e53ab1,1,100,,,single_pair_dominated,Terraforms,7985
0x4e1f41613c9084fdb9e34e11fae9412427480e56:7464,1,0,0.365,0.365,1,0x07dbc9423bc7e4315fe6224996a1d6a93931cd55,0xf49f263806a1defa546f6d388615bbc487e53ab1,1,100,,,single_pair_dominated,Terraforms,7464
0x4e1f41613c9084fdb9e34e11fae9412427480e56:3146,1,0,0.398,0.398,1,0xb911218a1bab2a470d6c14266d9ac41fc57b7bf2,0xf49f263806a1defa546f6d388615bbc487e53ab1,1,100,,,single_pair_dominated,Terraforms,3146
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:2850,1,62,62,62,1,0xf4e73a57b28215cac83494a0e98418960c889ef7,0xf542443cd8f4b18578aa7f2b647676a9c41914b3,1,100,,,single_pair_dominated,Meebits,2850
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:5355,1,3,2.5,2.5,1,0xead7dd1b34e284de9a864bbe2f4db63bfa7a7d0e,0xf57d5eee82af5ecfd29d03b1ae24d611a1ae3193,1,100,,,single_pair_dominated,Loot,5355
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:15722,1,4,4.3,4.3,1,0xa158ffb97cc5b65c7c762b31d3e8111688ee6940,0xf6bc89cc57e33c4e8053c4d8e63b70bf8c47e1a1,1,100,,,single_pair_dominated,Meebits,15722
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:4298,1,4,4.3,4.3,1,0xac000d8081428f2caded1826b463d2ddc848c1e8,0xf6bc89cc57e33c4e8053c4d8e63b70bf8c47e1a1,1,100,,,single_pair_dominated,Meebits,4298
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:3204,1,2,2.3,2.3,1,0xd44b31c06d1389abf57d7781b2f124db92ecfece,0xfa702e468e0fa0945dbd78062e5388e98b099d94,1,100,,,single_pair_dominated,Loot,3204
0x4e1f41613c9084fdb9e34e11fae9412427480e56:6418,1,0,0.36,0.36,1,0x5d931c7560122b2e657d189ccc20cbac6fc80ff8,0xfb494ccd5f9440b28ed663525b3151cebaf4e8e5,1,100,,,single_pair_dominated,Terraforms,6418
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:3149,1,93,93,93,1,0x42dd6252b9be3dad03220e8f730c300564d741a8,0xfcb429380ec40ffa05ed3e6bbb383e62d93ce3c0,1,100,,,single_pair_dominated,Loot,3149
0x4e1f41613c9084fdb9e34e11fae9412427480e56:3950,1,35,34.95,34.95,1,0x000b75fcdc15d41277deb033c72d2c8d774ccced,0xef9415b9420fe3f698a3ba54af95b098f4c22cf2,1,100,,,single_pair_dominated,Terraforms,3950
0x4e1f41613c9084fdb9e34e11fae9412427480e56:4930,1,35,34.5,34.5,1,0x000b75fcdc15d41277deb033c72d2c8d774ccced,0xef9415b9420fe3f698a3ba54af95b098f4c22cf2,1,100,,,single_pair_dominated,Terraforms,4930
0x4e1f41613c9084fdb9e34e11fae9412427480e56:5629,1,1,0.5,0.5,1,0x00542c33e50f6d92f2d7661e4318f89e4191f5e3,0x2ec3872fa8d7c6d019e634ab7addde2befd367ce,1,100,,,single_pair_dominated,Terraforms,5629
